Código Faculdade;Código Curso;Provas de ingresso;Nota candidatura;Pontos provas de ingresso;Média do secundário;Provas de ingresso
0203;L123;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 02 Biologia e Geologia 19 Matemática A ou 09 Geografia 18 Português ou 19 Matemática A 18 Português ou 09 Geografia 19 Matemática A ou 07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0204;9081;Um dos seguintes conjuntos: 16 Matemática 18 Português ou 04 Economia 16 Matemática ou 09 Geografia 19 Matemática A ou 06 Filosofia 19 Matemática A ou 13 Inglês 19 Matemática A;100 pontos;100 pontos;50%;50%
0204;9152;Um dos seguintes conjuntos: 19 Matemática A 18 Português ou 04 Economia 19 Matemática A ou 04 Economia 18 Português ou 06 Filosofia 19 Matemática A ou 04 Economia 17 Mat. Apl. Ciências Soc. ou 09 Geografia 19 Matemática A;100 pontos;100 pontos;50%;50%
0204;9152;Um dos seguintes conjuntos: 19 Matemática A 18 Português ou 04 Economia 19 Matemática A ou 04 Economia 18 Português ou 06 Filosofia 19 Matemática A ou 04 Economia 17 Mat. Apl. Ciências Soc. ou 09 Geografia 19 Matemática A;100 pontos;100 pontos;50%;50%
0204;9240;Duas das seguintes provas: 06 Filosofia 09 Geografia 11 História 18 Português;100 pontos;100 pontos;50%;50%
0204;9240;Duas das seguintes provas: 06 Filosofia 09 Geografia 11 História 18 Português;100 pontos;100 pontos;50%;50%
0206;9351;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;100 pontos;100 pontos;50%;50%
0300;9002;Um dos seguintes conjuntos: 17 Mat. Apl. Ciências Soc. 18 Português ou 04 Economia 18 Português ou 09 Geografia 18 Português;95 pontos;95 pontos;50%;50%
0300;9011;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática;95 pontos;95 pontos;50%;50%
0300;9012;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática;95 pontos;95 pontos;50%;50%
0300;9015;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;95 pontos;95 pontos;50%;50%
0300;9016;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;95 pontos;95 pontos;50%;50%
0300;9041;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;95 pontos;95 pontos;50%;50%
0300;9069;03 Desenho 10 Geometria Descritiva;95 pontos;95 pontos;50%;50%
0300;9081;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 09 Geografia 19 Matemática A ou 19 Matemática A 18 Português;95 pontos;95 pontos;50%;50%
0300;9089;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9096;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9099;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9104;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9113;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9119;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9123;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9125;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9141;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9146;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática;95 pontos;95 pontos;50%;50%
0300;9147;Um dos seguintes conjuntos: 09 Geografia 16 Matemática ou 02 Biologia e Geologia 16 Matemática ou 04 Economia 16 Matemática;95 pontos;95 pontos;50%;50%
0300;9194;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 05 Espanhol 18 Português ou 08 Francês 18 Português ou 01 Alemão 18 Português ou 15 Literatura Portuguesa 18 Português ou 13 Inglês 15 Literatura Portuguesa;95 pontos;95 pontos;50%;50%
0300;9196;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 05 Espanhol 18 Português ou 08 Francês 18 Português ou 08 Francês 13 Inglês ou 01 Alemão 13 Inglês ou 05 Espanhol 13 Inglês;95 pontos;95 pontos;50%;50%
0300;9204;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 05 Espanhol 18 Português ou 08 Francês 18 Português ou 13 Inglês 15 Literatura Portuguesa ou 05 Espanhol 15 Literatura Portuguesa ou 08 Francês 15 Literatura Portuguesa;95 pontos;95 pontos;50%;50%
0300;9209;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A ou 04 Economia 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9219;Duas das seguintes provas: 02 Biologia e Geologia 16 Matemática 18 Português;95 pontos;95 pontos;50%;50%
0300;9223;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9252;18 Português e Uma das seguintes provas: 01 Alemão 05 Espanhol 08 Francês 13 Inglês;95 pontos;95 pontos;50%;50%
0300;9351;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática;95 pontos;95 pontos;50%;50%
0300;9455;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;9813;02 Biologia e Geologia 07 Física e Química 19 Matemática A;140 pontos;140 pontos;50%;50%
0300;9853;17 Mat. Apl. Ciências Soc. 18 Português;95 pontos;95 pontos;50%;50%
0300;L187;Um dos seguintes conjuntos: 04 Economia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 16 Matemática 18 Português;95 pontos;95 pontos;50%;50%
0300;L202;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;L209;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A ou 10 Geometria Descritiva 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;L217;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;L221;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;L223;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0300;L254;Duas das seguintes provas: 10 Geometria Descritiva 16 Matemática 18 Português;95 pontos;95 pontos;50%;50%
0300;L298;Um dos seguintes conjuntos: 07 Física e Química 16 Matemática ou 02 Biologia e Geologia 16 Matemática;95 pontos;95 pontos;50%;50%
0400;8184;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática;100 pontos;100 pontos;50%;50%
0400;9015;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0400;9016;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0400;9020;18 Português e Uma das seguintes provas: 06 Filosofia 09 Geografia 11 História 13 Inglês 17 Mat. Apl. Ciências Soc.;100 pontos;100 pontos;50%;50%
0400;9023;Um dos seguintes conjuntos: 06 Filosofia (25%) 18 Português (30%) ou 09 Geografia (25%) 18 Português (30%) ou 04 Economia (25%) 18 Português (30%) ou 17 Mat. Apl. Ciências Soc. (25%) 18 Português (30%) ou 11 História (15%) 13 Inglês (15%) 18 Português (25%);100 pontos;100 pontos;45%;45%
0400;9025;Duas das seguintes provas: 06 Filosofia 09 Geografia 11 História 18 Português;100 pontos;100 pontos;50%;50%
0400;9048;18 Português e Uma das seguintes provas: 03 Desenho 06 Filosofia 12 Hist. da Cultura e Artes 11 História;100 pontos;100 pontos;50%;50%
0400;9071;Um dos seguintes conjuntos: 03 Desenho 12 Hist. da Cultura e Artes ou 03 Desenho 10 Geometria Descritiva ou 12 Hist. da Cultura e Artes 18 Português ou 06 Filosofia 18 Português ou 03 Desenho 18 Português;100 pontos;100 pontos;50%;50%
0400;9074;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 03 Desenho 18 Português ou 10 Geometria Descritiva 16 Matemática ou 03 Desenho 12 Hist. da Cultura e Artes ou 03 Desenho 06 Filosofia ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
