Código Faculdade;Código Curso;Provas de ingresso;Nota candidatura;Pontos provas de ingresso;Média do secundário;Provas de ingresso
0505;L109;Um dos seguintes conjuntos: 04 Economia 09 Geografia ou 09 Geografia 11 História ou 04 Economia 18 Português ou 09 Geografia 18 Português ou 11 História 18 Português ou 16 Matemática 18 Português;95 pontos;95 pontos;50%;50%
0506;9548;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 19 Matemática A;140 pontos;140 pontos;50%;50%
0506;9813;02 Biologia e Geologia 07 Física e Química 19 Matemática A;140 pontos;140 pontos;50%;50%
0507;9026;Duas das seguintes provas: 02 Biologia e Geologia 06 Filosofia 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
0507;9219;Duas das seguintes provas: 02 Biologia e Geologia 06 Filosofia 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
0507;9238;Duas das seguintes provas: 02 Biologia e Geologia 04 Economia 11 História 18 Português;100 pontos;100 pontos;50%;50%
0508;9707;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;95 pontos;95 pontos;50%;50%
0520;9013;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;100 pontos;100 pontos;50%;50%
0602;9003;02 Biologia e Geologia e Uma das seguintes provas: 04 Economia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0602;9011;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0602;9012;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0602;9015;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0602;9016;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0602;9119;16 Matemática e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 07 Física e Química 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0602;9143;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 04 Economia 09 Geografia ou 09 Geografia 11 História ou 09 Geografia 18 Português ou 04 Economia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
0602;9209;19 Matemática A e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 07 Física e Química 09 Geografia 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0602;9210;19 Matemática A e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 07 Física e Química 09 Geografia 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0602;9751;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0602;9752;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0602;9818;02 Biologia e Geologia e Uma das seguintes provas: 04 Economia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0602;9847;02 Biologia e Geologia 07 Física e Química;100 pontos;100 pontos;50%;50%
0602;9910;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
0602;L090;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 18 Português ou 09 Geografia 16 Matemática ou 07 Física e Química 18 Português ou 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0602;L221;Um dos seguintes conjuntos: 07 Física e Química (25%) 19 Matemática A (25%) ou 07 Física e Química (15%) 19 Matemática A (15%) 18 Português (20%);100 pontos;100 pontos;50%;50%
0602;L227;19 Matemática A e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 07 Física e Química 09 Geografia 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0603;9069;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 03 Desenho 12 Hist. da Cultura e Artes ou 03 Desenho 18 Português ou 10 Geometria Descritiva 18 Português ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes ou 03 Desenho 13 Inglês;100 pontos;100 pontos;50%;50%
0603;9243;Um dos seguintes conjuntos: 12 Hist. da Cultura e Artes 18 Português ou 06 Filosofia 18 Português ou 13 Inglês 18 Português ou 12 Hist. da Cultura e Artes 13 Inglês ou 03 Desenho 18 Português ou 15 Literatura Portuguesa 18 Português;100 pontos;100 pontos;50%;50%
0603;9257;Um dos seguintes conjuntos: 10 Geometria Descritiva 16 Matemática ou 03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes ou 10 Geometria Descritiva 18 Português ou 03 Desenho 18 Português ou 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0603;9257;Um dos seguintes conjuntos: 10 Geometria Descritiva 16 Matemática ou 03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes ou 10 Geometria Descritiva 18 Português ou 03 Desenho 18 Português ou 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0603;9347;03 Desenho e Uma das seguintes provas: 10 Geometria Descritiva 12 Hist. da Cultura e Artes 13 Inglês 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
0604;8251;Um dos seguintes conjuntos: 12 Hist. da Cultura e Artes 18 Português ou 11 História 18 Português ou 09 Geografia 18 Português ou 06 Filosofia 18 Português ou 06 Filosofia 11 História ou 06 Filosofia 09 Geografia;100 pontos;100 pontos;50%;50%
0604;9026;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 02 Biologia e Geologia 18 Português ou 06 Filosofia 17 Mat. Apl. Ciências Soc.;100 pontos;100 pontos;50%;50%
0604;9081;16 Matemática e Uma das seguintes provas: 04 Economia 06 Filosofia 09 Geografia 13 Inglês 18 Português;100 pontos;100 pontos;50%;50%
0604;9147;Um dos seguintes conjuntos: 16 Matemática 18 Português ou 04 Economia 18 Português ou 09 Geografia 16 Matemática ou 04 Economia 09 Geografia ou 04 Economia 16 Matemática ou 04 Economia 13 Inglês;100 pontos;100 pontos;50%;50%
0604;9219;Um dos seguintes conjuntos: 16 Matemática 18 Português ou 06 Filosofia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 02 Biologia e Geologia 18 Português ou 06 Filosofia 17 Mat. Apl. Ciências Soc. ou 13 Inglês 18 Português;100 pontos;100 pontos;50%;50%
0604;9229;Um dos seguintes conjuntos: 06 Filosofia 11 História ou 11 História 18 Português ou 11 História 13 Inglês ou 06 Filosofia 18 Português ou 09 Geografia 18 Português ou 13 Inglês 18 Português;100 pontos;100 pontos;50%;50%
0604;9229;Um dos seguintes conjuntos: 06 Filosofia 11 História ou 11 História 18 Português ou 11 História 13 Inglês ou 06 Filosofia 18 Português ou 09 Geografia 18 Português ou 13 Inglês 18 Português;100 pontos;100 pontos;50%;50%
0604;9240;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 09 Geografia 18 Português ou 06 Filosofia 11 História ou 06 Filosofia 09 Geografia ou 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
0604;9240;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 09 Geografia 18 Português ou 06 Filosofia 11 História ou 06 Filosofia 09 Geografia ou 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
0604;9254;Um dos seguintes conjuntos: 09 Geografia 18 Português ou 11 História 18 Português ou 04 Economia 18 Português ou 06 Filosofia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 09 Geografia 11 História;100 pontos;100 pontos;50%;50%
0604;9787;Um dos seguintes conjuntos: 12 Hist. da Cultura e Artes 18 Português ou 11 História 18 Português ou 09 Geografia 18 Português ou 09 Geografia 11 História ou 06 Filosofia 12 Hist. da Cultura e Artes ou 06 Filosofia 11 História;100 pontos;100 pontos;50%;50%
0604;9853;17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
0604;L047;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 05 Espanhol 18 Português ou 08 Francês 18 Português ou 12 Hist. da Cultura e Artes 18 Português ou 15 Literatura Portuguesa 18 Português ou 05 Espanhol 15 Literatura Portuguesa;100 pontos;100 pontos;50%;50%
0605;9494;Um dos seguintes conjuntos: 02 Biologia e Geologia (25%) 07 Física e Química (25%) ou 02 Biologia e Geologia (25%) 16 Matemática (25%) ou 02 Biologia e Geologia (25%) 18 Português (25%) ou 02 Biologia e Geologia (25%) 06 Filosofia (25%) ou 02 Biologia e Geologia (15%) 07 Física e Química (15%) 16 Matemática (20%);100 pontos;100 pontos;50%;50%
0605;9707;Um dos seguintes conjuntos: 17 Mat. Apl. Ciências Soc. 18 Português ou 02 Biologia e Geologia 18 Português ou 02 Biologia e Geologia 17 Mat. Apl. Ciências Soc. ou 07 Física e Química 18 Português ou 02 Biologia e Geologia 13 Inglês;100 pontos;100 pontos;50%;50%
0605;9841;02 Biologia e Geologia e Uma das seguintes provas: 06 Filosofia 07 Física e Química 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0605;L256;Um dos seguintes conjuntos: 02 Biologia e Geologia (25%) 07 Física e Química (25%) ou 02 Biologia e Geologia (25%) 16 Matemática (25%) ou 02 Biologia e Geologia (25%) 18 Português (25%) ou 02 Biologia e Geologia (25%) 06 Filosofia (25%) ou 02 Biologia e Geologia (15%) 07 Física e Química (15%) 16 Matemática (20%);100 pontos;100 pontos;50%;50%
0901;9554;02 Biologia e Geologia 07 Física e Química;120 pontos;120 pontos;50%;50%
0901;9813;02 Biologia e Geologia 07 Física e Química 19 Matemática A;150 pontos;150 pontos;50%;50%
0902;8109;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 09 Geografia 16 Matemática;100 pontos;100 pontos;50%;50%
0902;9006;Um dos seguintes conjuntos: 11 História 18 Português ou 12 Hist. da Cultura e Artes 18 Português;100 pontos;100 pontos;50%;50%
0902;9020;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 04 Economia 18 Português;100 pontos;100 pontos;50%;50%
0902;9023;Um dos seguintes conjuntos: 11 História 18 Português ou 06 Filosofia 18 Português ou 04 Economia 18 Português;100 pontos;100 pontos;50%;50%
0902;9040;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 13 Inglês 18 Português ou 15 Literatura Portuguesa 18 Português;100 pontos;100 pontos;50%;50%
0902;9046;Duas das seguintes provas: 12 Hist. da Cultura e Artes 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
0902;9139;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
0902;9145;Um dos seguintes conjuntos: 09 Geografia 11 História ou 09 Geografia 18 Português ou 04 Economia 09 Geografia;100 pontos;100 pontos;50%;50%
0902;9181;Um dos seguintes conjuntos: 11 História 18 Português ou 06 Filosofia 11 História ou 12 Hist. da Cultura e Artes 18 Português;100 pontos;100 pontos;50%;50%
0902;9182;Um dos seguintes conjuntos: 11 História 18 Português ou 06 Filosofia 18 Português ou 12 Hist. da Cultura e Artes 18 Português;100 pontos;100 pontos;50%;50%
0902;9204;18 Português e Uma das seguintes provas: 01 Alemão 05 Espanhol 08 Francês 13 Inglês;100 pontos;100 pontos;50%;50%
0902;9240;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 09 Geografia 16 Matemática;100 pontos;100 pontos;50%;50%
0902;9240;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 09 Geografia 16 Matemática;100 pontos;100 pontos;50%;50%
0902;9252;18 Português e Uma das seguintes provas: 01 Alemão 05 Espanhol 08 Francês 13 Inglês;100 pontos;100 pontos;50%;50%
0902;9448;Um dos seguintes conjuntos: 11 História 18 Português ou 02 Biologia e Geologia 18 Português;100 pontos;100 pontos;50%;50%
0902;9917;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 14 Latim 18 Português ou 06 Filosofia 15 Literatura Portuguesa;100 pontos;100 pontos;50%;50%
0903;8036;Um dos seguintes conjuntos: 03 Desenho 12 Hist. da Cultura e Artes ou 07 Física e Química 16 Matemática ou 12 Hist. da Cultura e Artes 18 Português;95 pontos;95 pontos;50%;50%
0903;9015;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;95 pontos;95 pontos;50%;50%
0903;9089;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;9096;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;9099;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;9104;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;9113;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;9119;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 10 Geometria Descritiva 19 Matemática A ou 04 Economia 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;9123;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;9126;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;9209;Um dos seguintes conjuntos: 07 Física e Química (20%) 19 Matemática A (30%) ou 02 Biologia e Geologia (20%) 19 Matemática A (30%) ou 19 Matemática A (30%) 18 Português (20%);95 pontos;95 pontos;50%;50%
0903;9224;07 Física e Química 16 Matemática;95 pontos;95 pontos;50%;50%
0903;9348;Um dos seguintes conjuntos: 02 Biologia e Geologia 04 Economia ou 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática;95 pontos;95 pontos;50%;50%
0903;9455;07 Física e Química 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;L167;Um dos seguintes conjuntos: 19 Matemática A (30%) 18 Português (20%) ou 04 Economia (20%) 19 Matemática A (30%) ou 07 Física e Química (20%) 19 Matemática A (30%);95 pontos;95 pontos;50%;50%
0903;L209;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A ou 10 Geometria Descritiva 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;L231;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A ou 10 Geometria Descritiva 19 Matemática A;95 pontos;95 pontos;50%;50%
0903;L286;Um dos seguintes conjuntos: 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 07 Física e Química;95 pontos;95 pontos;50%;50%
0904;9081;19 Matemática A (30%) e Uma das seguintes provas: (20%) 04 Economia 06 Filosofia 07 Física e Química 09 Geografia 13 Inglês 18 Português;135 pontos;135 pontos;50%;50%
0904;9147;19 Matemática A (30%) e Uma das seguintes provas: (20%) 04 Economia 06 Filosofia 07 Física e Química 09 Geografia 13 Inglês 18 Português;135 pontos;135 pontos;50%;50%
0906;8259;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 16 Matemática 18 Português ou 09 Geografia 16 Matemática ou 13 Inglês 16 Matemática;100 pontos;100 pontos;50%;50%
0906;9155;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 16 Matemática 18 Português ou 09 Geografia 16 Matemática ou 13 Inglês 16 Matemática;100 pontos;100 pontos;50%;50%
0906;L188;19 Matemática A e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 07 Física e Química 09 Geografia 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
0911;9078;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 19 Matemática A 18 Português;120 pontos;120 pontos;50%;50%
0911;9078;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 19 Matemática A 18 Português;120 pontos;120 pontos;50%;50%
1000;8183;Um dos seguintes conjuntos: 09 Geografia 18 Português ou 02 Biologia e Geologia 18 Português ou 04 Economia 18 Português ou 04 Economia 09 Geografia ou 09 Geografia 11 História ou 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
1000;8184;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;8358;Um dos seguintes conjuntos: 11 História 18 Português ou 06 Filosofia 18 Português ou 19 Matemática A 18 Português;100 pontos;100 pontos;50%;50%
1000;8427;Um dos seguintes conjuntos: 11 História 18 Português ou 02 Biologia e Geologia 18 Português;100 pontos;100 pontos;50%;50%
1000;8494;Um dos seguintes conjuntos: 10 Geometria Descritiva 16 Matemática ou 03 Desenho 10 Geometria Descritiva ou 03 Desenho 12 Hist. da Cultura e Artes ou 10 Geometria Descritiva 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
1000;9002;Duas das seguintes provas: 04 Economia 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
1000;9006;Um dos seguintes conjuntos: 06 Filosofia 11 História ou 09 Geografia 11 História ou 11 História 18 Português ou 11 História 17 Mat. Apl. Ciências Soc. ou 12 Hist. da Cultura e Artes 11 História ou 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
1000;9012;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 16 Matemática;100 pontos;100 pontos;50%;50%
1000;9015;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9019;Duas das seguintes provas: 04 Economia 06 Filosofia 11 História;100 pontos;100 pontos;50%;50%
1000;9023;18 Português e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 06 Filosofia 09 Geografia 11 História 17 Mat. Apl. Ciências Soc.;100 pontos;100 pontos;50%;50%
1000;9056;Duas das seguintes provas: 04 Economia 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
1000;9078;Um dos seguintes conjuntos: 11 História 18 Português ou 06 Filosofia 18 Português ou 19 Matemática A 18 Português;100 pontos;100 pontos;50%;50%
1000;9078;Um dos seguintes conjuntos: 11 História 18 Português ou 06 Filosofia 18 Português ou 19 Matemática A 18 Português;100 pontos;100 pontos;50%;50%
1000;9081;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 19 Matemática A 18 Português ou 13 Inglês 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9089;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9096;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9098;Um dos seguintes conjuntos: 07 Física e Química 16 Matemática ou 02 Biologia e Geologia 16 Matemática ou 10 Geometria Descritiva 16 Matemática;100 pontos;100 pontos;50%;50%
1000;9104;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9113;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9119;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português ou 02 Biologia e Geologia 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9123;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9126;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9127;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9134;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 06 Filosofia 18 Português ou 12 Hist. da Cultura e Artes 18 Português;100 pontos;100 pontos;50%;50%
1000;9139;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 06 Filosofia 11 História ou 16 Matemática 18 Português ou 11 História 18 Português ou 06 Filosofia 16 Matemática ou 06 Filosofia 13 Inglês;100 pontos;100 pontos;50%;50%
1000;9141;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9146;Um dos seguintes conjuntos: 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 07 Física e Química ou 09 Geografia 16 Matemática;100 pontos;100 pontos;50%;50%
1000;9147;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 19 Matemática A 18 Português ou 13 Inglês 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9181;Um dos seguintes conjuntos: 06 Filosofia 11 História ou 09 Geografia 11 História ou 11 História 18 Português ou 11 História 17 Mat. Apl. Ciências Soc. ou 12 Hist. da Cultura e Artes 11 História ou 16 Matemática 18 Português;100 pontos;100 pontos;50%;50%
1000;9192;18 Português e Uma das seguintes provas: 01 Alemão 05 Espanhol 08 Francês 13 Inglês;100 pontos;100 pontos;50%;50%
1000;9195;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 08 Francês 13 Inglês ou 05 Espanhol 13 Inglês ou 01 Alemão 13 Inglês ou 13 Inglês 15 Literatura Portuguesa ou 08 Francês 18 Português;100 pontos;100 pontos;50%;50%
1000;9205;Duas das seguintes provas: 04 Economia 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
1000;9205;Duas das seguintes provas: 04 Economia 17 Mat. Apl. Ciências Soc. 18 Português;100 pontos;100 pontos;50%;50%
1000;9209;19 Matemática A e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 07 Física e Química 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
1000;9219;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 06 Filosofia 18 Português;100 pontos;100 pontos;50%;50%
1000;9223;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9229;Duas das seguintes provas: 04 Economia 06 Filosofia 11 História;100 pontos;100 pontos;50%;50%
1000;9229;Duas das seguintes provas: 04 Economia 06 Filosofia 11 História;100 pontos;100 pontos;50%;50%
1000;9240;18 Português e Uma das seguintes provas: 06 Filosofia 09 Geografia 11 História 17 Mat. Apl. Ciências Soc. 16 Matemática;100 pontos;100 pontos;50%;50%
1000;9240;18 Português e Uma das seguintes provas: 06 Filosofia 09 Geografia 11 História 17 Mat. Apl. Ciências Soc. 16 Matemática;100 pontos;100 pontos;50%;50%
1000;9243;Um dos seguintes conjuntos: 12 Hist. da Cultura e Artes 18 Português ou 12 Hist. da Cultura e Artes 13 Inglês ou 13 Inglês 18 Português ou 12 Hist. da Cultura e Artes 15 Literatura Portuguesa ou 11 História 13 Inglês ou 13 Inglês 16 Matemática;100 pontos;100 pontos;50%;50%
1000;9257;Um dos seguintes conjuntos: 10 Geometria Descritiva 16 Matemática ou 03 Desenho 10 Geometria Descritiva ou 03 Desenho 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
1000;9257;Um dos seguintes conjuntos: 10 Geometria Descritiva 16 Matemática ou 03 Desenho 10 Geometria Descritiva ou 03 Desenho 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
1000;9353;Um dos seguintes conjuntos: 11 História 18 Português ou 02 Biologia e Geologia 18 Português;100 pontos;100 pontos;50%;50%
1000;9379;Um dos seguintes conjuntos: 09 Geografia 16 Matemática ou 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 07 Física e Química;100 pontos;100 pontos;50%;50%
1000;9381;19 Matemática A e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 07 Física e Química 18 Português;100 pontos;100 pontos;50%;50%
1000;9397;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português ou 10 Geometria Descritiva 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9455;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9499;Duas das seguintes provas: 03 Desenho 10 Geometria Descritiva 16 Matemática;100 pontos;100 pontos;50%;50%
1000;9688;Um dos seguintes conjuntos: 02 Biologia e Geologia 19 Matemática A ou 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9785;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 19 Matemática A 18 Português ou 13 Inglês 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;9813;02 Biologia e Geologia 07 Física e Química 16 Matemática;140 pontos;140 pontos;50%;50%
1000;9817;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 03 Desenho 12 Hist. da Cultura e Artes ou 12 Hist. da Cultura e Artes 18 Português ou 06 Filosofia 12 Hist. da Cultura e Artes;100 pontos;100 pontos;50%;50%
1000;9853;Um dos seguintes conjuntos: 16 Matemática 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 19 Matemática A 18 Português;100 pontos;100 pontos;50%;50%
1000;9917;Um dos seguintes conjuntos: 15 Literatura Portuguesa 18 Português ou 11 História 18 Português ou 06 Filosofia 18 Português;100 pontos;100 pontos;50%;50%
1000;L078;Um dos seguintes conjuntos: 11 História 18 Português ou 02 Biologia e Geologia 18 Português ou 19 Matemática A 18 Português;100 pontos;100 pontos;50%;50%
1000;L112;Um dos seguintes conjuntos: 09 Geografia 16 Matemática ou 09 Geografia 18 Português ou 02 Biologia e Geologia 09 Geografia ou 02 Biologia e Geologia 16 Matemática ou 16 Matemática 18 Português ou 02 Biologia e Geologia 04 Economia;100 pontos;100 pontos;50%;50%
1000;L147;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 06 Filosofia 13 Inglês ou 13 Inglês 20 Mandarim;100 pontos;100 pontos;50%;50%
1000;L188;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português ou 04 Economia 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;L215;Um dos seguintes conjuntos: 04 Economia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português;100 pontos;100 pontos;50%;50%
1000;L218;Um dos seguintes conjuntos: 07 Física e Química 19 Matemática A ou 10 Geometria Descritiva 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A;100 pontos;100 pontos;50%;50%
1000;L221;07 Física e Química 19 Matemática A;130 pontos;130 pontos;50%;50%
1000;L229;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1101;9554;02 Biologia e Geologia 07 Física e Química;120 pontos;120 pontos;50%;50%
1102;9257;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 16 Matemática ou 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
1102;9257;Um dos seguintes conjuntos: 03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 16 Matemática ou 10 Geometria Descritiva 18 Português;100 pontos;100 pontos;50%;50%
1103;8258;Um dos seguintes conjuntos: 02 Biologia e Geologia 10 Geometria Descritiva ou 02 Biologia e Geologia 16 Matemática ou 03 Desenho 10 Geometria Descritiva;100 pontos;100 pontos;50%;50%
1103;9011;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 19 Matemática A ou 02 Biologia e Geologia 18 Português;100 pontos;100 pontos;50%;50%
1103;9015;Duas das seguintes provas: 02 Biologia e Geologia 07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
1103;9113;07 Física e Química 19 Matemática A;100 pontos;100 pontos;50%;50%
